logo;title;text
"<i class=""fas fa-smile""></i>";Posztolási kultúra;Kedves alkotók, művészek, szolgáltatók! A csakahazait! csoport komoly erőfeszítést tesz annak érdekében, hogy a posztjaitok a lehető legjobb minőséget képviseljék és a legtöbb kérdésre már azok olvasásakor választ adhassanak. Felhívjuk figyelmeteket, hogy ennek érdekében minden esetben felkeressük azokat messengeren, akiknek a posztjai nem felelnek meg a csoport szabályainak, hiányosak, illetve nem képviselnek megfelelő minőséget. Kérnénk titeket, hogy segítsétek a munkánkat és próbáljatok meg mindent megtenni azért, hogy az általatok, a kezetekből kiadott posztok a lehető legszuperebb módon mutathassanak be titeket. Köszönjük!
"<i class=""fas fa-plus-square""></i>";Posztok száma;A csoport posztjainak mennyiségét és a posztolási sebességet figyelembe véve úgy döntöttünk, hogy havonta egy alkotó maximum 4 posztot tehet fel, ami megközelítőleg heti egy megjelenést tesz lehetővé. Az újabb posztokat automatikusan el fogjuk utasítani egy, a posztolónak szánt üzenettel, amelyben felhívjuk a figyelmét a törlés okára. Hosszabb távon ez egy élhető és áttekinthető csoportot fog eredményezni, ahol a felhasználók könnyedén megtalálhatják az éppen keresendő dolgot.
"<i class=""far fa-file-alt""></i>";Posztok tartalma;A legfontosabb eleme ennek a csoportnak a poszt, amely meghatározza a csoport arculatát. Természetesen a cél az, hogy minél többet tudjunk meg rólatok és minél áttekinthetőbb legyen minden egyes iromány, ezzel növelve azok marketing értékét. Posztjaitoknak tartalmaznia kell egy rövid bemutatkozást, honnan jöttetek, mivel foglalkoztok, mit akartok nekünk bemutatni, végül a szóban forgó termékek/szolgáltatások árát. Az ár kardinális kérdés, annak feltüntetése nélkül nem fogjuk kitenni a posztotokat. Az említett információkat a poszt szövegébe kérjük beletenni és nem a képek mögé elrejtve. Köszönjük!
"<i class=""fas fa-grin-squint-tears""></i>";Trollok, negatívok;Kedves Trollok! Ez a csoport nem a ti etetésetekre jött létre, nem azért vagyunk itt, hogy a ti negatív kommentjeiteket olvasgassuk. Megkérlek titeket, hogy csak és kizárólag kulturált keretek között nyilvánítsatok véleményt, ugyanis azokat, akik trágár szavakkal illetik kedves kis csapattársainkat, azokat azonnali hatállyal meneszteni fogjuk mindörökre :) Kedves csapattársak! Bátran jelentsétek azokat a kommenteket, amelyek szerintetek sértőek és nem odaillőek a posztotok alá. Nem az a cél, hogy elvegyük egy életre a másik kedvét az alkotástól és a reklámozástól, hanem hogy egy szuperjó és működő közösséget hozzunk létre!
"<i class=""fas fa-times-circle""></i>";Poszt keret túllépés;Kedves posztolók! Amennyiben már mind a 4 lehetőségeteket kihasználtátok a havi keretből, úgy kérünk titeket, hogy ne tegyetek ki újabb posztokat. Az így beérkező posztokat automatikusan el fogjuk utasítani egy adminisztrátori bejegyzéssel, miszerint túlléptétek a havi keretet. Próbáljatok meg jól gazdálkodni a rendelkezésre álló mennyiséggel és használjatok ki minden marketing fortélyt a posztjaitok életben tartására. :) Higyjétek el, senkinek sem jó, ha feneketlen kútba dobjuk be a posztjainkat és azok elvesznek még azelőtt, hogy eljuthatnának a valódi célközönségetekhez!
"<i class=""fas fa-trophy""></i>";A hónap nyertesei;A csakahazait! csoport egy privát csoport, ami a hazai termékek, alkotások és szolgáltatások bemutatására jött létre. A csoportból nem lehet megosztani a posztokat, ami egy tudatos döntés az alkotók részéről. A hónap három legnépszerűbb posztjának alkotója viszont lehetőséget kap ingyen és bérmentve kikerülni a publikus csakahazait! Facebook oldalra, ahol egy komolyabb bemutatkozást tehet a csakahazait! marketing csapat segítségével! Ezek a posztok már megoszthatóak és a nagyközönség számára elérhetővé válnak majd. A széleskörű elterjedést segítik a csapatunk által adott célcsoportra fókuszált fizetett hirdetések, illetve a jelenlegi csoportba meghívott újabb és újabb emberek, akik meghívást kapnak az oldal követésére. 
"<i class=""fas fa-exclamation-triangle""></i>";Egyéb posztok;A csakahazait! csoport célja a kistermelők, alkotók, művészek, szolgáltatók bemutatkozásainak lehetővé tétele és azok megfelelő tálalása a beérkező közönség számára. A posztok mennyiségét figyelembe véve sajnos nem fogjuk tudni kitenni a köszönetnyilvánító és egyéb, keresek jellegű tartalmakat. A köszönetnyilvánításokat minden esetben az oda illő posztok alá kérjük beírni kommentként. Amennyiben valaki konkrét terméket keres, úgy használhatja a bejegyzéstémákat, vagy a csoport kereső funkcióját. Megértéseteket köszönjük!
"<i class=""fas fa-search""></i>";Bejegyzéstémák használata;Kérünk minden posztolót, alkotót, művészt, kistermelőt, szolgáltatót, hogy a posztotok megírásakor állítsátok be a megfelelő bejegyzéstémát. Amennyiben ezt elmulasztjátok, úgy a későbbiek során lényegesen kisebb eséllyel találnak majd rátok a potenciális vásárlók, a vevőitek. A témák megadása szuperjó lehetőség a kategorizálásra, aminek a segítségével mindenki könnyedén megtalálhatja a számára fontos tartalmakat. Segítsük a közönséget és tegyük a csoportot átláthatóvá, használhatóvá. Köszönjük!
"<i class=""fas fa-hands-helping""></i>";Posztok engedélyezése;Kérünk minden posztolót, alkotót, művészt, kistermelőt, szolgáltatót, hogy a posztotok megírásakor figyeljetek oda szabályzatunkra. Amennyiben ezt elmulasztjátok, úgy az adminisztrátorok 48 órás türelmi idő után törölni fogják a bejegyzéseiteket, ahol az elutasítás okaként a szabályzattal nem összeegyeztethető minőségű poszt lesz feltüntetve. Amennyiben 2-4 órán belül nem kerül elfogadásra a posztotok, úgy kérjük, hogy ellenőrizzétek annak tartalmát. Segítsük a közönséget és tegyük a csoportot átláthatóvá, használhatóvá. Köszönjük!
"<i class=""fas fa-gamepad""></i>";Csakahazait! - Játékok;Felhívjuk minden posztoló, alkotó, művész, kistermelő, szolgáltató figyelmét, hogy lehetőségetek van játékra invitálni a teljes csakahazait! csapatot, amely egy óriási bázis a számotokra!! Használjátok ki az alkalmat és promótáljátok saját oldalaitokat, hirdessétek termékeiteket, alkotásaitokat és trükkös, frappáns, ügyes fogásokkal szerezzetek még több aktív követőt! Nagyon fontos tudni, hogy a Csakhazait! - Játékok témakör alá feltett játékos posztok nem számítanak bele a havi 4 keretbe, ami tehát egy újabb lehetőség a megjelenésre. Sok sikert kíván a csakahazait! csapat!
